Model,MSE (Train),MSE (Test),RMSE (Train),RMSE (Test),MAE (Train),MAE (Test),R² (Train),R² (Test),Adj. R² (Train),Adj. R² (Test),Training Time (s)
Tuned Random Forest,0.05856483593496924,0.25421184804150193,0.242001727132203,0.5041942562559613,0.14890159808401784,0.32765919383399333,0.9561895642684259,0.806005718624763,0.9561603573112716,0.8054872693791052,65.73072290420532
Tuned XGBoost,0.09620072748385516,0.20690712739748723,0.31016242113424247,0.45487045122483744,0.2153105195950682,0.29888061423664175,0.9280353863973593,0.8421049223310111,0.9279874099882909,0.8416829481195536,1.4054245948791504
